id,match_id,fecha,deporte,partido,home_team,away_team,seleccion,casa,cuota,prob_real,prob_modelo,prob_sharp,edge_pct,stake_eur,factor_conf,n_sharp,fair_open,creada
699bf1a1a9eb1b2ed120fea0c2225ddf|Nottingham Forest|1xBet,699bf1a1a9eb1b2ed120fea0c2225ddf,2026-05-04T14:00:00Z,soccer_epl,Chelsea vs Nottingham Forest,Chelsea,Nottingham Forest,Nottingham Forest,1xBet,4.92,0.2109,,,3.77,0.01,,,,2026-04-24T21:27:28
09d5570dec06194bdd8124831b9deb5a|Draw|1xBet,09d5570dec06194bdd8124831b9deb5a,2026-05-04T19:00:00Z,soccer_epl,Everton vs Manchester City,Everton,Manchester City,Draw,1xBet,4.78,0.2158,,,3.14,0.01,,,,2026-04-24T21:27:28
6b26120d2a0ef752d7770e5a2a69ec4c|Elche CF|Pinnacle,6b26120d2a0ef752d7770e5a2a69ec4c,2026-05-03T12:00:00Z,soccer_spain_la_liga,Celta Vigo vs Elche CF,Celta Vigo,Elche CF,Elche CF,Pinnacle,4.06,0.2571,,,4.38,0.01,,,,2026-04-24T21:27:28
6b26120d2a0ef752d7770e5a2a69ec4c|Elche CF|1xBet,6b26120d2a0ef752d7770e5a2a69ec4c,2026-05-03T12:00:00Z,soccer_spain_la_liga,Celta Vigo vs Elche CF,Celta Vigo,Elche CF,Elche CF,1xBet,4.22,0.2571,,,8.49,0.03,,,,2026-04-24T21:27:28
2e977aa19b52f35a2f36273a8936a967|Draw|1xBet,2e977aa19b52f35a2f36273a8936a967,2026-05-03T19:00:00Z,soccer_spain_la_liga,Espanyol vs Real Madrid,Espanyol,Real Madrid,Draw,1xBet,4.72,0.2184,,,3.11,0.01,,,,2026-04-24T21:27:28
de694a4df408b98ea9a17da7b905a13a|Nantes|LeoVegas (SE),de694a4df408b98ea9a17da7b905a13a,2026-05-02T13:00:00Z,soccer_france_ligue_one,Nantes vs Marseille,Nantes,Marseille,Nantes,LeoVegas (SE),5.6,0.1862,,,4.27,0.01,,,,2026-04-24T21:27:28
de694a4df408b98ea9a17da7b905a13a|Nantes|Unibet (NL),de694a4df408b98ea9a17da7b905a13a,2026-05-02T13:00:00Z,soccer_france_ligue_one,Nantes vs Marseille,Nantes,Marseille,Nantes,Unibet (NL),5.6,0.1862,,,4.27,0.01,,,,2026-04-24T21:27:28
de694a4df408b98ea9a17da7b905a13a|Nantes|Unibet (SE),de694a4df408b98ea9a17da7b905a13a,2026-05-02T13:00:00Z,soccer_france_ligue_one,Nantes vs Marseille,Nantes,Marseille,Nantes,Unibet (SE),5.6,0.1862,,,4.27,0.01,,,,2026-04-24T21:27:28
16fa5da1e64cdb028c84396beecbb633|Draw|1xBet,16fa5da1e64cdb028c84396beecbb633,2026-05-02T16:00:00Z,soccer_italy_serie_a,Como vs Napoli,Como,Napoli,Draw,1xBet,3.66,0.2823,,,3.33,0.01,,,,2026-04-24T21:27:28
bb624cb4bdfb721401d5a3d3017c921e|Draw|BetOnline.ag,bb624cb4bdfb721401d5a3d3017c921e,2026-05-03T10:30:00Z,soccer_italy_serie_a,Bologna vs Cagliari,Bologna,Cagliari,Draw,BetOnline.ag,4.15,0.2499,,,3.71,0.01,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Sassuolo|Casumo,2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Sassuolo,Casumo,5.2,0.2023,,,5.22,0.01,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Sassuolo|LeoVegas (SE),2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Sassuolo,LeoVegas (SE),5.2,0.2023,,,5.22,0.01,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Sassuolo|PMU (FR),2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Sassuolo,PMU (FR),5.1,0.2023,,,3.19,0.01,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Sassuolo|Grosvenor,2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Sassuolo,Grosvenor,5.2,0.2023,,,5.22,0.01,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Sassuolo|Unibet (NL),2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Sassuolo,Unibet (NL),5.3,0.2023,,,7.24,0.02,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Sassuolo|Unibet (SE),2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Sassuolo,Unibet (SE),5.3,0.2023,,,7.24,0.02,,,,2026-04-24T21:27:28
2457832a9a6bc5d539672aa3f6537d3b|Draw|BetOnline.ag,2457832a9a6bc5d539672aa3f6537d3b,2026-05-03T13:00:00Z,soccer_italy_serie_a,Sassuolo vs AC Milan,Sassuolo,AC Milan,Draw,BetOnline.ag,4.43,0.2329,,,3.19,0.01,,,,2026-04-24T21:27:28
