id,match_id,fecha,deporte,partido,home_team,away_team,seleccion,casa,cuota,prob_real,edge_pct,stake_eur,creada,resultado,score,pnl,bankroll_tras
e8aec0c2da8f35ce251f9a1e905624b2|Draw|Tipico,e8aec0c2da8f35ce251f9a1e905624b2,2026-04-24T19:02:00Z,soccer_spain_la_liga,Real Betis vs Real Madrid,Real Betis,Real Madrid,Draw,Tipico,6.0,0.1762,5.72,0.01,2026-04-24T21:27:28,GANADA,1-1,0.05,20.05
5000a9f1dd7ba71de7ae6ceef836aa48|Los Angeles Lakers|1xBet,5000a9f1dd7ba71de7ae6ceef836aa48,2026-04-25T00:10:00Z,basketball_nba,Houston Rockets vs Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Los Angeles Lakers,1xBet,4.01,0.2611,4.71,0.02,2026-04-24T19:45:48,GANADA,108-112,0.06,20.11
48504b972ab1848ecffb5f9ab8e53a85|Estudiantes de Río Cuarto|Unibet (SE),48504b972ab1848ecffb5f9ab8e53a85,2026-04-24T22:15:00Z,soccer_argentina_primera_division,Estudiantes de Río Cuarto vs Rosario Central,Estudiantes de Río Cuarto,Rosario Central,Estudiantes de Río Cuarto,Unibet (SE),4.1,0.2555,4.74,0.02,2026-04-24T19:46:45,PERDIDA,2-1,-0.02,20.09
48504b972ab1848ecffb5f9ab8e53a85|Estudiantes de Río Cuarto|Smarkets,48504b972ab1848ecffb5f9ab8e53a85,2026-04-24T22:15:00Z,soccer_argentina_primera_division,Estudiantes de Río Cuarto vs Rosario Central,Estudiantes de Río Cuarto,Rosario Central,Estudiantes de Río Cuarto,Smarkets,4.1,0.2555,4.74,0.02,2026-04-24T19:46:45,PERDIDA,2-1,-0.02,20.07
fd04b9b8d279971365bceaf68b31a090|Gold Coast Suns|Betfair,fd04b9b8d279971365bceaf68b31a090,2026-04-25T02:30:07Z,aussierules_afl,Hawthorn Hawks vs Gold Coast Suns,Hawthorn Hawks,Gold Coast Suns,Gold Coast Suns,Betfair,2.46,0.4286,5.43,0.04,2026-04-24T19:45:48,PERDIDA,63-112,-0.04,20.03
fd04b9b8d279971365bceaf68b31a090|Gold Coast Suns|Betfair,fd04b9b8d279971365bceaf68b31a090,2026-04-25T02:30:07Z,aussierules_afl,Hawthorn Hawks vs Gold Coast Suns,Hawthorn Hawks,Gold Coast Suns,Gold Coast Suns,Betfair,2.46,0.4286,5.43,0.04,2026-04-24T19:45:48,PERDIDA,63-112,-0.04,19.99
75291065ae278d5c4f49018b9c64f97c|Essendon Bombers|Betfair,75291065ae278d5c4f49018b9c64f97c,2026-04-25T05:20:19Z,aussierules_afl,Essendon Bombers vs Collingwood Magpies,Essendon Bombers,Collingwood Magpies,Essendon Bombers,Betfair,3.25,0.3244,5.43,0.02,2026-04-24T19:45:48,PERDIDA,137-60,-0.02,19.97
75291065ae278d5c4f49018b9c64f97c|Essendon Bombers|Betfair,75291065ae278d5c4f49018b9c64f97c,2026-04-25T05:20:19Z,aussierules_afl,Essendon Bombers vs Collingwood Magpies,Essendon Bombers,Collingwood Magpies,Essendon Bombers,Betfair,3.25,0.3244,5.43,0.02,2026-04-24T19:45:48,PERDIDA,137-60,-0.02,19.95
ba3f461ff695be3ad8ef4c4713f6a0d0|St George Illawarra Dragons|Coral,ba3f461ff695be3ad8ef4c4713f6a0d0,2026-04-25T06:00:00Z,rugbyleague_nrl,St George Illawarra Dragons vs Sydney Roosters,St George Illawarra Dragons,Sydney Roosters,St George Illawarra Dragons,Coral,6.0,0.1727,3.6,0.01,2026-04-25T04:48:06,PERDIDA,16-62,-0.01,19.94
ba3f461ff695be3ad8ef4c4713f6a0d0|St George Illawarra Dragons|Ladbrokes,ba3f461ff695be3ad8ef4c4713f6a0d0,2026-04-25T06:00:00Z,rugbyleague_nrl,St George Illawarra Dragons vs Sydney Roosters,St George Illawarra Dragons,Sydney Roosters,St George Illawarra Dragons,Ladbrokes,6.0,0.1727,3.6,0.01,2026-04-25T04:48:06,PERDIDA,16-62,-0.01,19.93
af4847d63733e67ddd02f2bafac8ea6f|Portland Trail Blazers|Paddy Power,af4847d63733e67ddd02f2bafac8ea6f,2026-04-25T02:48:00Z,basketball_nba,Portland Trail Blazers vs San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,Paddy Power,2.1,0.494,3.74,0.03,2026-04-25T04:48:06,PERDIDA,108-120,-0.03,19.9
af4847d63733e67ddd02f2bafac8ea6f|Portland Trail Blazers|Sky Bet,af4847d63733e67ddd02f2bafac8ea6f,2026-04-25T02:48:00Z,basketball_nba,Portland Trail Blazers vs San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,Sky Bet,2.1,0.494,3.74,0.03,2026-04-25T04:48:06,PERDIDA,108-120,-0.03,19.87
af4847d63733e67ddd02f2bafac8ea6f|Portland Trail Blazers|Coral,af4847d63733e67ddd02f2bafac8ea6f,2026-04-25T02:48:00Z,basketball_nba,Portland Trail Blazers vs San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,Coral,2.15,0.494,6.21,0.05,2026-04-25T04:48:06,PERDIDA,108-120,-0.05,19.82
af4847d63733e67ddd02f2bafac8ea6f|San Antonio Spurs|Betclic (FR),af4847d63733e67ddd02f2bafac8ea6f,2026-04-25T02:48:00Z,basketball_nba,Portland Trail Blazers vs San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,Betclic (FR),2.07,0.506,4.74,0.04,2026-04-25T04:48:06,GANADA,108-120,0.04,19.86
af4847d63733e67ddd02f2bafac8ea6f|San Antonio Spurs|Betfair,af4847d63733e67ddd02f2bafac8ea6f,2026-04-25T02:48:00Z,basketball_nba,Portland Trail Blazers vs San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,Betfair,2.12,0.506,7.27,0.06,2026-04-25T04:48:06,GANADA,108-120,0.07,19.93
af4847d63733e67ddd02f2bafac8ea6f|San Antonio Spurs|Bet Victor,af4847d63733e67ddd02f2bafac8ea6f,2026-04-25T02:48:00Z,basketball_nba,Portland Trail Blazers vs San Antonio Spurs,Portland Trail Blazers,San Antonio Spurs,San Antonio Spurs,Bet Victor,2.2,0.506,11.32,0.09,2026-04-25T04:48:06,GANADA,108-120,0.11,20.04
